id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2115,Como Quality Suite Accommodation,2313,Helen,,SOUTH PERTH,-32.00870728532935,115.86406572293853,Private room,100,2,4,2018-04-21,0.06,1,121
37688,Living in our family home,162227,Theja,,MELVILLE,-32.06806054430756,115.87673616505825,Private room,70,1,0,,,1,365
42713,Bed with Breakfast,186576,Denise,,IRWIN,-29.252155178274787,114.93204745888801,Private room,95,1,4,2018-08-11,0.10,1,365
45825,St James for short-longer stay?,204056,Carol,,CANNING,-32.00394573231162,115.91394370337542,Private room,60,3,0,,,2,365
46463,HideAway Haven-Luxury Accommodation,207854,Maggie,,ALBANY,-34.98551414124771,117.92371287947643,Private room,295,1,2,2012-12-20,0.02,1,365
58329,Trewent Farmhouse  rustic & rambling,277321,Karen,,MANJIMUP,-34.355424667840204,116.18266704177697,Entire home/apt,216,2,24,2018-04-01,0.30,2,315
59311,family home in canning vale,284743,Rudy And Lina,,GOSNELLS,-32.07592310209674,115.93187671366992,Private room,65,1,7,2018-04-28,0.07,1,362
59917,Santa Maria Room! Fremantle,288343,Allan,,FREMANTLE,-32.06883443590593,115.77680932233599,Private room,189,2,0,,,3,364
60102,Leeuwin Room! Fremantle,288343,Allan,,FREMANTLE,-32.06750787515015,115.77665717131987,Private room,168,2,0,,,3,364
60103,Endeavour Room! Fremantle,288343,Allan,,FREMANTLE,-32.067367030988926,115.7771507450146,Private room,168,2,0,,,3,364
65261,"Bright but cosy Fremantle Unit, 1-2 Guests",319052,Suzanne Elizabeth,,FREMANTLE,-32.04964122807801,115.76582013936017,Entire home/apt,44,2,163,2018-09-11,1.86,1,351
69534,Ideally location BB close to shops/bus/Train,348191,Teresa,,JOONDALUP,-31.84381822891661,115.8065877982438,Private room,75,2,1,2017-10-03,0.09,1,347
76855,Sunny Space Betw Perth & Fremantle,353141,Richie & Gill,,MELVILLE,-32.043125382503405,115.82904744714135,Private room,90,1,14,2016-07-23,0.17,1,365
81044,Welcome Home Family Villa near Freo,431695,Carol,,MELVILLE,-32.04561303913653,115.78330093925597,Entire home/apt,150,4,4,2018-04-30,0.07,1,183
83521,Perth Northern Suburbs Stay-Unique,275749,Daniel,,SWAN,-31.82727304604206,115.88767609019435,Private room,100,1,1,2011-05-09,0.01,1,365
88185,Palmerston Paradise - downstairs,474393,Anne,,VINCENT,-31.942992231189745,115.85703728794829,Private room,70,2,128,2018-09-11,1.42,2,212
97608,"single bed and cozy room, melville.",423161,Paul Pax,,MELVILLE,-32.044277095153255,115.79709627265734,Private room,44,1,23,2017-04-01,0.26,1,365
100798,Mount Lawley close city/airport,529238,Jean,,STIRLING,-31.921770175362344,115.87689887254864,Private room,50,2,178,2018-08-25,1.98,2,334
101343,Your own suite of rooms,29779,Helen,,STIRLING,-31.909638714631175,115.88144387183641,Private room,115,1,52,2015-10-04,0.58,1,365
